vial_id,temperature,diet,sex,rep,ind,lifespan,status
11,21,0.4,female,1,7,38,1
11,21,0.4,female,1,8,101,1
11,21,0.4,female,1,9,101,1
11,21,0.4,female,1,10,105,1
12,21,0.4,female,2,1,24,1
12,21,0.4,female,2,2,24,1
12,21,0.4,female,2,3,31,1
12,21,0.4,female,2,4,31,1
12,21,0.4,female,2,5,35,1
12,21,0.4,female,2,6,40,1
12,21,0.4,female,2,7,54,1
12,21,0.4,female,2,8,87,1
12,21,0.4,female,2,9,89,1
12,21,0.4,female,2,10,103,1
13,21,0.4,female,3,1,21,1
13,21,0.4,female,3,2,31,1
13,21,0.4,female,3,3,40,1
13,21,0.4,female,3,4,73,1
13,21,0.4,female,3,5,82,1
13,21,0.4,female,3,6,98,1
13,21,0.4,female,3,7,101,1
13,21,0.4,female,3,8,103,1
13,21,0.4,female,3,9,126,1
13,21,0.4,female,3,10,126,1
14,21,0.4,female,4,1,19,1
14,21,0.4,female,4,2,19,1
14,21,0.4,female,4,3,21,1
14,21,0.4,female,4,4,26,1
14,21,0.4,female,4,5,26,1
14,21,0.4,female,4,6,26,1
14,21,0.4,female,4,7,31,1
14,21,0.4,female,4,8,33,1
14,21,0.4,female,4,9,40,1
14,21,0.4,female,4,10,122,1
15,21,0.4,female,5,1,28,1
15,21,0.4,female,5,2,31,1
15,21,0.4,female,5,3,35,1
15,21,0.4,female,5,4,38,1
15,21,0.4,female,5,5,40,1
15,21,0.4,female,5,6,42,1
15,21,0.4,female,5,7,47,1
15,21,0.4,female,5,8,47,1
15,21,0.4,female,5,9,129,1
15,21,0.4,female,5,10,131,1
16,21,0.4,female,6,1,28,1
16,21,0.4,female,6,2,31,1
16,21,0.4,female,6,3,31,1
16,21,0.4,female,6,4,31,1
16,21,0.4,female,6,5,33,1
16,21,0.4,female,6,6,33,1
16,21,0.4,female,6,7,38,1
16,21,0.4,female,6,8,52,1
16,21,0.4,female,6,9,119,1
16,21,0.4,female,6,10,126,1
17,21,0.4,female,7,1,21,1
17,21,0.4,female,7,2,24,1
17,21,0.4,female,7,3,26,1
17,21,0.4,female,7,4,33,1
17,21,0.4,female,7,5,28,1
17,21,0.4,female,7,6,35,1
17,21,0.4,female,7,7,35,1
17,21,0.4,female,7,8,42,1
17,21,0.4,female,7,9,47,1
17,21,0.4,female,7,10,122,1
18,21,0.4,female,8,1,24,1
18,21,0.4,female,8,2,24,1
18,21,0.4,female,8,3,28,1
18,21,0.4,female,8,4,33,1
18,21,0.4,female,8,5,33,1
18,21,0.4,female,8,6,35,1
18,21,0.4,female,8,7,35,1
18,21,0.4,female,8,8,45,1
18,21,0.4,female,8,9,87,1
18,21,0.4,female,8,10,98,1
19,21,0.4,female,9,1,19,1
19,21,0.4,female,9,2,24,1
19,21,0.4,female,9,3,24,1
19,21,0.4,female,9,4,28,1
19,21,0.4,female,9,5,38,1
19,21,0.4,female,9,6,42,1
19,21,0.4,female,9,7,52,1
19,21,0.4,female,9,8,59,1
19,21,0.4,female,9,9,87,1
19,21,0.4,female,9,10,133,1
20,21,0.4,female,10,1,21,1
20,21,0.4,female,10,2,26,1
20,21,0.4,female,10,3,31,1
20,21,0.4,female,10,4,33,1
20,21,0.4,female,10,5,38,1
20,21,0.4,female,10,6,38,1
20,21,0.4,female,10,7,105,1
20,21,0.4,female,10,8,122,1
20,21,0.4,female,10,9,124,1
20,21,0.4,female,10,10,136,1
21,21,1,male,1,1,61,1
21,21,1,male,1,2,61,1
21,21,1,male,1,3,63,1
21,21,1,male,1,4,63,1
21,21,1,male,1,5,68,1
21,21,1,male,1,6,80,1
21,21,1,male,1,7,84,1
21,21,1,male,1,8,91,1
21,21,1,male,1,9,94,1
21,21,1,male,1,10,94,1
22,21,1,male,2,1,54,1
22,21,1,male,2,2,66,1
22,21,1,male,2,3,68,1
22,21,1,male,2,4,68,1
22,21,1,male,2,5,73,1
22,21,1,male,2,6,73,1
22,21,1,male,2,7,77,1
22,21,1,male,2,8,80,1
22,21,1,male,2,9,87,1
22,21,1,male,2,10,94,1
23,21,1,male,3,1,14,1
23,21,1,male,3,2,56,1
23,21,1,male,3,3,61,1
23,21,1,male,3,4,63,1
23,21,1,male,3,5,63,1
23,21,1,male,3,6,66,1
23,21,1,male,3,7,68,1
23,21,1,male,3,8,77,1
23,21,1,male,3,9,80,1
23,21,1,male,3,10,89,1
24,21,1,male,4,1,45,1
24,21,1,male,4,2,49,1
24,21,1,male,4,3,52,1
24,21,1,male,4,4,59,1
24,21,1,male,4,5,59,1
24,21,1,male,4,6,66,1
24,21,1,male,4,7,70,1
24,21,1,male,4,8,73,1
24,21,1,male,4,9,84,1
24,21,1,male,4,10,108,1
25,21,1,male,5,1,54,1
25,21,1,male,5,2,54,1
25,21,1,male,5,3,54,1
25,21,1,male,5,4,63,1
25,21,1,male,5,5,68,1
25,21,1,male,5,6,84,1
25,21,1,male,5,7,87,1
25,21,1,male,5,8,94,1
25,21,1,male,5,9,108,1
25,21,1,male,5,10,110,1
26,21,1,male,6,1,54,1
26,21,1,male,6,2,56,1
26,21,1,male,6,3,63,1
26,21,1,male,6,4,63,1
26,21,1,male,6,5,68,1
26,21,1,male,6,6,80,1
26,21,1,male,6,7,84,1
26,21,1,male,6,8,89,1
26,21,1,male,6,9,96,1
26,21,1,male,6,10,110,1
27,21,1,male,7,1,56,1
27,21,1,male,7,2,61,1
27,21,1,male,7,3,66,1
