generation,vial_id,temperature,diet,sex,rep,age,eggs
F0,293,29,1.5,female,3,12,3
F0,294,29,1.5,female,4,12,9
F0,295,29,1.5,female,5,12,3
F0,296,29,1.5,female,6,12,1
F0,297,29,1.5,female,7,12,57
F0,298,29,1.5,female,8,12,3
F0,299,29,1.5,female,9,12,77
F0,300,29,1.5,female,10,12,2
F0,11,21,0.4,female,1,19,1
F0,12,21,0.4,female,2,19,2
F0,13,21,0.4,female,3,19,0
F0,14,21,0.4,female,4,19,0
F0,15,21,0.4,female,5,19,6
F0,16,21,0.4,female,6,19,1
F0,17,21,0.4,female,7,19,0
F0,18,21,0.4,female,8,19,2
F0,19,21,0.4,female,9,19,0
F0,20,21,0.4,female,10,19,5
F0,31,21,1,female,1,19,26
F0,32,21,1,female,2,19,21
F0,33,21,1,female,3,19,10
F0,34,21,1,female,4,19,20
F0,35,21,1,female,5,19,11
F0,36,21,1,female,6,19,46
F0,37,21,1,female,7,19,30
F0,38,21,1,female,8,19,17
F0,39,21,1,female,9,19,13
F0,40,21,1,female,10,19,26
F0,51,21,1.5,female,1,19,59
F0,52,21,1.5,female,2,19,38
F0,53,21,1.5,female,3,19,43
F0,54,21,1.5,female,4,19,34
F0,55,21,1.5,female,5,19,30
F0,56,21,1.5,female,6,19,54
F0,57,21,1.5,female,7,19,52
F0,58,21,1.5,female,8,19,54
F0,59,21,1.5,female,9,19,44
F0,60,21,1.5,female,10,19,32
F0,71,23,0.4,female,1,19,4
F0,72,23,0.4,female,2,19,0
F0,73,23,0.4,female,3,19,3
F0,74,23,0.4,female,4,19,4
F0,75,23,0.4,female,5,19,0
F0,76,23,0.4,female,6,19,0
F0,77,23,0.4,female,7,19,1
F0,78,23,0.4,female,8,19,1
F0,79,23,0.4,female,9,19,7
F0,80,23,0.4,female,10,19,0
F0,91,23,1,female,1,19,1
F0,92,23,1,female,2,19,10
F0,93,23,1,female,3,19,7
F0,94,23,1,female,4,19,26
F0,95,23,1,female,5,19,0
F0,96,23,1,female,6,19,0
F0,97,23,1,female,7,19,2
F0,98,23,1,female,8,19,8
F0,99,23,1,female,9,19,4
F0,100,23,1,female,10,19,4
F0,111,23,1.5,female,1,19,2
F0,112,23,1.5,female,2,19,5
F0,113,23,1.5,female,3,19,4
